pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-01T00:08:32Z,2019-03-01T00:29:47Z,3,7.35,22.5,1,0,27.3,yellow,credit card,East Chelsea,Mott Haven/Port Morris,Manhattan,Bronx
2019-03-01T00:15:53Z,2019-03-01T00:47:58Z,1,7,25.5,7.3,0,36.6,yellow,credit card,West Village,Astoria,Manhattan,Queens
2019-03-01T00:29:22Z,2019-03-01T00:32:48Z,4,0.74,4.5,1,0,9.3,yellow,credit card,Meatpacking/West Village West,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-01T00:32:49Z,2019-03-01T00:53:18Z,1,5.34,19,2,0,24.8,yellow,credit card,Clinton East,Sunnyside,Manhattan,Queens
2019-03-01T00:56:50Z,2019-03-01T01:04:01Z,1,1.45,7,1,0,11.8,yellow,credit card,Union Sq,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-01T01:25:30Z,2019-03-01T01:29:25Z,1,1,5,1.76,0,10.56,yellow,credit card,Murray Hill,Midtown East,Manhattan,Manhattan
2019-03-01T02:51:42Z,2019-03-01T03:08:25Z,1,5,17.5,4.25,0,25.55,yellow,credit card,West Village,Upper West Side South,Manhattan,Manhattan
2019-03-01T02:55:55Z,2019-03-01T02:57:59Z,3,0.74,4,0,0,7.8,yellow,cash,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-01T04:19:39Z,2019-03-01T04:23:36Z,1,0.84,5,0.5,0,9.3,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
2019-03-01T04:30:28Z,2019-03-01T04:36:08Z,1,2.11,7.5,2.26,0,13.56,yellow,credit card,Sutton Place/Turtle Bay North,Yorkville West,Manhattan,Manhattan
2019-03-01T04:34:21Z,2019-03-01T04:37:26Z,1,0.8,5,2.2,0,11,yellow,credit card,Times Sq/Theatre District,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-01T05:18:21Z,2019-03-01T05:18:30Z,2,0.04,2.5,0,0,3.8,yellow,cash,NA,NA,NA,NA
2019-03-01T05:23:59Z,2019-03-01T05:27:33Z,1,0.7,4.5,0,0,8.3,yellow,cash,Times Sq/Theatre District,Clinton East,Manhattan,Manhattan
2019-03-01T05:46:21Z,2019-03-01T06:15:04Z,1,13.66,39,0,0,40.3,green,credit card,Gravesend,Cypress Hills,Brooklyn,Brooklyn
2019-03-01T06:27:36Z,2019-03-01T07:14:37Z,1,9.66,36.5,0,0,39.8,yellow,cash,East Chelsea,Flatlands,Manhattan,Brooklyn
2019-03-01T06:41:00Z,2019-03-01T06:48:19Z,2,1.84,8,2.26,0,13.56,yellow,credit card,Lincoln Square West,Midtown East,Manhattan,Manhattan
2019-03-01T06:42:17Z,2019-03-01T06:47:43Z,1,0.7,5.5,1.75,0,10.55,yellow,credit card,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-01T06:42:52Z,2019-03-01T07:01:35Z,1,4.64,17,0,0,17.8,green,cash,Jamaica,Cambria Heights,Queens,Queens
2019-03-01T06:44:12Z,2019-03-01T06:51:23Z,1,1.26,6.5,0,0,7.3,yellow,cash,Sunnyside,Astoria,Queens,Queens
2019-03-01T06:46:57Z,2019-03-01T06:50:12Z,1,1.02,5,1.66,0,9.96,yellow,credit card,Midtown East,Union Sq,Manhattan,Manhattan
2019-03-01T07:06:20Z,2019-03-01T07:09:34Z,5,0.66,4.5,1.56,0,9.36,yellow,credit card,Lenox Hill West,Upper East Side North,Manhattan,Manhattan
2019-03-01T07:15:56Z,2019-03-01T07:19:31Z,1,0.4,4,0,0,7.3,yellow,credit card,Lenox Hill West,Lenox Hill East,Manhattan,Manhattan
2019-03-01T07:16:19Z,2019-03-01T07:23:47Z,1,2,8,2.25,0,13.55,yellow,credit card,Gramercy,Midtown South,Manhattan,Manhattan
2019-03-01T07:25:29Z,2019-03-01T07:37:21Z,0,3.1,11.5,3.65,0,15.95,yellow,credit card,Hamilton Heights,Manhattan Valley,Manhattan,Manhattan
2019-03-01T07:27:51Z,2019-03-01T07:41:02Z,1,2.14,11,0,0,14.3,yellow,cash,East Chelsea,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-01T07:34:30Z,2019-03-01T07:40:58Z,1,1.2,6.5,0,0,9.8,yellow,cash,Bloomingdale,Upper West Side North,Manhattan,Manhattan
2019-03-01T07:35:56Z,2019-03-01T07:44:37Z,1,2.4,9.5,2.55,0,15.35,yellow,credit card,Yorkville East,Midtown Center,Manhattan,Manhattan
2019-03-01T08:04:26Z,2019-03-01T08:12:44Z,1,1.1,7,2.55,0,12.85,yellow,credit card,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan
2019-03-01T08:12:28Z,2019-03-01T08:17:19Z,1,0.83,5,2.5,0,10.8,yellow,credit card,NA,NA,NA,NA
2019-03-01T08:23:18Z,2019-03-01T08:52:12Z,1,5.1,19.26,0,0,19.76,green,credit card,East Concourse/Concourse Village,Westchester Village/Unionport,Bronx,Bronx
2019-03-01T08:24:40Z,2019-03-01T08:49:35Z,1,2.84,17,1.02,0,21.32,yellow,credit card,Clinton East,East Harlem South,Manhattan,Manhattan
2019-03-01T08:25:43Z,2019-03-01T08:36:41Z,1,0.83,8,2.26,0,13.56,yellow,credit card,Upper East Side North,Midtown North,Manhattan,Manhattan
2019-03-01T08:32:53Z,2019-03-01T08:47:18Z,1,3.09,12,3.06,0,18.36,yellow,credit card,Hudson Sq,Alphabet City,Manhattan,Manhattan
2019-03-01T08:40:42Z,2019-03-01T08:53:17Z,1,1.93,10,2.66,0,15.96,yellow,credit card,Lenox Hill East,Midtown East,Manhattan,Manhattan
2019-03-01T08:49:20Z,2019-03-01T09:08:33Z,1,2.7,14,0,0,17.3,yellow,cash,West Chelsea/Hudson Yards,Greenwich Village North,Manhattan,Manhattan
2019-03-01T08:50:21Z,2019-03-01T08:59:01Z,1,0.62,6.5,0,0,9.8,yellow,cash,Times Sq/Theatre District,Midtown Center,Manhattan,Manhattan
2019-03-01T09:00:22Z,2019-03-01T09:10:09Z,1,1.01,7.5,2,0,12.8,yellow,credit card,Midtown Center,Midtown South,Manhattan,Manhattan
2019-03-01T09:10:38Z,2019-03-01T09:21:29Z,5,1.41,8.5,2.36,0,14.16,yellow,credit card,Midtown East,Upper East Side South,Manhattan,Manhattan
2019-03-01T09:12:54Z,2019-03-01T09:24:18Z,1,1.3,8.5,0,0,11.8,yellow,credit card,Midtown Center,Union Sq,Manhattan,Manhattan
2019-03-01T09:52:57Z,2019-03-01T10:08:19Z,1,2.22,12,3.06,0,18.36,yellow,credit card,Yorkville East,Midtown East,Manhattan,Manhattan
2019-03-01T10:25:50Z,2019-03-01T10:32:29Z,1,0.84,6,0,0,9.3,yellow,cash,Upper West Side South,Lincoln Square West,Manhattan,Manhattan
2019-03-01T10:39:19Z,2019-03-01T11:01:00Z,4,1.46,13.5,3.36,0,20.16,yellow,credit card,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan
2019-03-01T10:42:36Z,2019-03-01T10:52:40Z,1,1.29,8.5,1.86,0,11.16,yellow,credit card,Central Park,Morningside Heights,Manhattan,Manhattan
2019-03-01T11:15:33Z,2019-03-01T11:23:17Z,1,1.16,7,2.58,0,12.88,yellow,credit card,Greenwich Village North,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-01T11:25:31Z,2019-03-01T11:34:24Z,1,1.24,8,0,0,11.3,yellow,cash,Upper West Side South,Upper East Side North,Manhattan,Manhattan
2019-03-01T11:36:49Z,2019-03-01T12:22:53Z,1,6.1,30.5,0,0,33.8,yellow,cash,Steinway,Midtown Center,Queens,Manhattan
2019-03-01T11:48:17Z,2019-03-01T11:53:09Z,2,0.49,5,0,0,8.3,yellow,cash,World Trade Center,Financial District South,Manhattan,Manhattan
2019-03-01T11:50:32Z,2019-03-01T11:59:16Z,1,1.2,7.5,2.15,0,12.95,yellow,credit card,East Village,SoHo,Manhattan,Manhattan
2019-03-01T12:00:10Z,2019-03-01T12:08:16Z,1,0.6,6.5,1,0,10.8,yellow,credit card,Upper East Side South,Midtown North,Manhattan,Manhattan
2019-03-01T12:02:09Z,2019-03-01T12:28:37Z,5,3.94,19.5,0,0,20.3,green,credit card,Cambria Heights,Jamaica,Queens,Queens
2019-03-01T12:14:41Z,2019-03-01T12:18:39Z,2,0.5,4.5,1.05,0,6.35,yellow,credit card,East Harlem North,East Harlem North,Manhattan,Manhattan
2019-03-01T12:18:43Z,2019-03-01T12:26:32Z,1,0.81,6.5,2.45,0,12.25,yellow,credit card,Midtown North,Lincoln Square East,Manhattan,Manhattan
2019-03-01T12:21:56Z,2019-03-01T13:05:55Z,4,5.94,29.5,0,0,32.8,yellow,credit card,Upper West Side North,East Village,Manhattan,Manhattan
2019-03-01T12:40:27Z,2019-03-01T12:55:12Z,1,1.78,10.5,2,0,15.8,yellow,credit card,Lincoln Square East,Midtown East,Manhattan,Manhattan
2019-03-01T12:44:12Z,2019-03-01T12:46:13Z,1,0.4,3.5,0,0,6.8,yellow,cash,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
2019-03-01T12:47:30Z,2019-03-01T13:03:57Z,1,0.95,10.5,2.76,0,16.56,yellow,credit card,Upper East Side South,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-01T13:02:16Z,2019-03-01T13:14:16Z,1,1.97,9.5,2,0,14.8,yellow,credit card,Lenox Hill West,Upper East Side North,Manhattan,Manhattan
2019-03-01T13:07:27Z,2019-03-01T13:12:32Z,1,1.49,6.5,1.96,0,11.76,yellow,credit card,Battery Park City,Financial District South,Manhattan,Manhattan
2019-03-01T13:28:07Z,2019-03-01T13:41:24Z,1,2.6,11.5,2.45,0,14.75,yellow,credit card,East Harlem North,Manhattan Valley,Manhattan,Manhattan
2019-03-01T13:31:52Z,2019-03-01T14:21:04Z,2,12.52,43.5,6.64,0,50.94,yellow,credit card,JFK Airport,Fort Greene,Queens,Brooklyn
2019-03-01T13:35:27Z,2019-03-01T13:53:57Z,1,1.52,12,3.82,0,19.12,yellow,credit card,UN/Turtle Bay South,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-01T14:04:20Z,2019-03-01T14:23:09Z,2,1.73,12.5,0,0,15.8,yellow,cash,Midtown South,Central Park,Manhattan,Manhattan
2019-03-01T14:11:37Z,2019-03-01T14:17:25Z,1,1.04,6,0,0,9.3,yellow,cash,Greenwich Village North,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-01T14:21:09Z,2019-03-01T14:39:12Z,0,2.3,12.5,1.2,0,17,yellow,credit card,Yorkville West,Midtown Center,Manhattan,Manhattan
2019-03-01T14:23:35Z,2019-03-01T14:46:18Z,6,3.46,15.5,0,0,18.8,yellow,cash,West Chelsea/Hudson Yards,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-01T14:48:57Z,2019-03-01T15:09:22Z,5,3.11,15,0,0,16.8,green,cash,Steinway,Jackson Heights,Queens,Queens
2019-03-01T14:57:16Z,2019-03-01T15:05:48Z,1,1.09,7,1.03,0,11.33,yellow,credit card,Upper East Side South,Midtown Center,Manhattan,Manhattan
2019-03-01T15:00:53Z,2019-03-01T15:31:13Z,1,11.55,34.49,0,0,34.99,green,credit card,Sheepshead Bay,South Ozone Park,Brooklyn,Queens
2019-03-01T15:03:16Z,2019-03-01T15:06:46Z,3,0.77,4.5,0,0,7.8,yellow,cash,East Harlem South,Upper East Side North,Manhattan,Manhattan
2019-03-01T15:25:52Z,2019-03-01T15:59:16Z,1,12.89,38,9.41,5.76,56.47,yellow,credit card,World Trade Center,LaGuardia Airport,Manhattan,Queens
2019-03-01T15:45:19Z,2019-03-01T15:47:06Z,1,0.5,3.5,0,0,7.8,yellow,cash,Kips Bay,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-01T15:52:51Z,2019-03-01T15:59:14Z,1,0.99,6,1.86,0,11.16,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-01T15:58:22Z,2019-03-01T16:55:59Z,1,18.2,56.13,0,0,56.63,green,credit card,Sheepshead Bay,Fresh Meadows,Brooklyn,Queens
2019-03-01T16:04:51Z,2019-03-01T16:16:59Z,1,2,10,0,0,14.3,yellow,cash,Upper East Side North,East Harlem North,Manhattan,Manhattan
2019-03-01T16:06:38Z,2019-03-01T16:19:31Z,2,1.7,10,0,0,14.3,yellow,cash,Murray Hill,Clinton West,Manhattan,Manhattan
